case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
short_high-n10000-p128,current,all,retained,1,,59315112,59223184,1313545,1312184,405028864
short_high-n10000-p128,current,all,retained,2,,59315112,59223184,1313545,1312184,406355968
short_high-n10000-p128,current,all,retained,3,,59315112,59223184,1313545,1312184,406257664
short_high-n10000-p128,current,datasig,allocation,1,10643568,,,,,
short_high-n10000-p128,current,datasig,retained,1,,11055176,10959072,56065,54316,340492288
short_high-n10000-p128,current,datasig,retained,2,,11055176,10959072,56065,54316,340885504
short_high-n10000-p128,current,datasig,retained,3,,11055176,10959072,56065,54316,340492288
strl_low-n10000-p32,current,load,allocation,1,446264,,,,,
strl_low-n10000-p32,current,load,retained,1,,689008,607288,43322,43017,142721024
strl_low-n10000-p32,current,load,retained,2,,689008,607288,43322,43017,142688256
strl_low-n10000-p32,current,load,retained,3,,689008,607288,43322,43017,142622720
strl_low-n10000-p32,current,first_value,allocation,1,417656,,,,,
strl_low-n10000-p32,current,first_value,retained,1,,709536,627776,44224,43911,142655488
strl_low-n10000-p32,current,first_value,retained,2,,709536,627776,44224,43911,145211392
strl_low-n10000-p32,current,first_value,retained,3,,709536,627776,44224,43911,142671872
strl_low-n10000-p32,current,fraction,allocation,1,1630080,,,,,
strl_low-n10000-p32,current,fraction,retained,1,,1019088,894920,58168,57782,143507456
strl_low-n10000-p32,current,fraction,retained,2,,1019088,894920,58168,57782,143769600
strl_low-n10000-p32,current,fraction,retained,3,,1019088,894920,58168,57782,143572992
strl_low-n10000-p32,current,known5_fraction,allocation,1,1574040,,,,,
strl_low-n10000-p32,current,known5_fraction,retained,1,,1303672,1181920,77922,77832,134955008
strl_low-n10000-p32,current,known5_fraction,retained,2,,1303672,1181920,77922,77832,135135232
strl_low-n10000-p32,current,known5_fraction,retained,3,,1303672,1181920,77922,77832,135069696
strl_low-n10000-p32,current,all,allocation,1,1728408,,,,,
strl_low-n10000-p32,current,all,retained,1,,1548744,1466768,43627,43320,143802368
strl_low-n10000-p32,current,all,retained,2,,1548744,1466768,43627,43320,143884288
strl_low-n10000-p32,current,all,retained,3,,1548744,1466768,43627,43320,143687680
strl_low-n10000-p32,current,datasig,allocation,1,438784,,,,,
strl_low-n10000-p32,current,datasig,retained,1,,891456,808416,54336,53932,1205141504
strl_low-n10000-p32,current,datasig,retained,2,,891456,808416,54336,53932,1205141504
strl_low-n10000-p32,current,datasig,retained,3,,891456,808416,54336,53932,1205141504
strl_low-n10000-p32,direct,load,allocation,1,442176,,,,,
strl_low-n10000-p32,direct,load,retained,1,,572992,493000,36989,36782,142508032
