case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
pure-numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,2,,11087592,727104,54424,49842,157089792
pure-numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,3,,11087592,727104,54424,49842,157073408
pure-numeric-n10000-p128,baseline,direct,load,allocation,1,5278544,,,,,
pure-numeric-n10000-p128,baseline,direct,load,retained,1,,5401952,3312016,38430,37093,138870784
pure-numeric-n10000-p128,baseline,direct,load,retained,2,,5401952,3312016,38430,37093,138903552
pure-numeric-n10000-p128,baseline,direct,load,retained,3,,5401952,3312016,38430,37093,138788864
pure-numeric-n10000-p128,baseline,direct,first_value,allocation,1,5278544,,,,,
pure-numeric-n10000-p128,baseline,direct,first_value,retained,1,,5443216,3351520,40761,39320,142147584
pure-numeric-n10000-p128,baseline,direct,first_value,retained,2,,5443216,3351520,40761,39320,139001856
pure-numeric-n10000-p128,baseline,direct,first_value,retained,3,,5443216,3351520,40761,39320,139001856
pure-numeric-n10000-p128,baseline,direct,fraction,allocation,1,6097336,,,,,
pure-numeric-n10000-p128,baseline,direct,fraction,retained,1,,5808024,3597248,54356,52889,140247040
pure-numeric-n10000-p128,baseline,direct,fraction,retained,2,,5808024,3597248,54356,52889,140115968
pure-numeric-n10000-p128,baseline,direct,fraction,retained,3,,5808024,3597248,54356,52889,140148736
pure-numeric-n10000-p128,baseline,direct,known5_fraction,allocation,1,1449800,,,,,
pure-numeric-n10000-p128,baseline,direct,known5_fraction,retained,1,,1485152,1206360,73024,72934,136347648
pure-numeric-n10000-p128,baseline,direct,known5_fraction,retained,2,,1485152,1206360,73024,72934,136380416
pure-numeric-n10000-p128,baseline,direct,known5_fraction,retained,3,,1485152,1206360,73024,72934,136249344
pure-numeric-n10000-p128,baseline,direct,all,allocation,1,5279616,,,,,
pure-numeric-n10000-p128,baseline,direct,all,retained,1,,5411800,3319104,38907,37469,138870784
pure-numeric-n10000-p128,baseline,direct,all,retained,2,,5411800,3319104,38907,37469,138952704
pure-numeric-n10000-p128,baseline,direct,all,retained,3,,5411800,3319104,38907,37469,138805248
pure-numeric-n10000-p128,baseline,direct,datasig,allocation,1,5297752,,,,,
pure-numeric-n10000-p128,baseline,direct,datasig,retained,1,,5614080,3523312,49958,48579,143966208
pure-numeric-n10000-p128,baseline,direct,datasig,retained,2,,5614080,3523312,49958,48579,144211968
pure-numeric-n10000-p128,baseline,direct,datasig,retained,3,,5614080,3523312,49958,48579,144146432
pure-numeric-n10000-p128,baseline,current,load,allocation,1,5293448,,,,,
pure-numeric-n10000-p128,baseline,current,load,retained,1,,5513024,3421352,44515,43079,142376960
pure-numeric-n10000-p128,baseline,current,load,retained,2,,5513024,3421352,44515,43079,139100160
pure-numeric-n10000-p128,baseline,current,load,retained,3,,5513024,3421352,44515,43079,139165696
pure-numeric-n10000-p128,baseline,current,first_value,allocation,1,5293448,,,,,
pure-numeric-n10000-p128,baseline,current,first_value,retained,1,,5549640,3457944,46578,45137,139280384
pure-numeric-n10000-p128,baseline,current,first_value,retained,2,,5549640,3457944,46578,45137,139165696
pure-numeric-n10000-p128,baseline,current,first_value,retained,3,,5549640,3457944,46578,45137,139116544
pure-numeric-n10000-p128,baseline,current,fraction,allocation,1,6112240,,,,,
pure-numeric-n10000-p128,baseline,current,fraction,retained,1,,5847112,3636336,56545,55078,140427264
pure-numeric-n10000-p128,baseline,current,fraction,retained,2,,5847112,3636336,56545,55078,140460032
pure-numeric-n10000-p128,baseline,current,fraction,retained,3,,5847112,3636336,56545,55078,140345344
pure-numeric-n10000-p128,baseline,current,known5_fraction,allocation,1,1449800,,,,,
pure-numeric-n10000-p128,baseline,current,known5_fraction,retained,1,,1523328,1244536,75148,75058,136544256
pure-numeric-n10000-p128,baseline,current,known5_fraction,retained,2,,1523328,1244536,75148,75058,136675328
pure-numeric-n10000-p128,baseline,current,known5_fraction,retained,3,,1523328,1244536,75148,75058,136429568
pure-numeric-n10000-p128,baseline,current,all,allocation,1,5294520,,,,,
pure-numeric-n10000-p128,baseline,current,all,retained,1,,5515640,3422944,44560,43122,139018240
pure-numeric-n10000-p128,baseline,current,all,retained,2,,5515640,3422944,44560,43122,139034624
pure-numeric-n10000-p128,baseline,current,all,retained,3,,5515640,3422944,44560,43122,139165696
pure-numeric-n10000-p128,baseline,current,datasig,allocation,1,5312656,,,,,
pure-numeric-n10000-p128,baseline,current,datasig,retained,1,,5724128,3632472,55964,54532,144310272
pure-numeric-n10000-p128,baseline,current,datasig,retained,2,,5724128,3632472,55964,54532,144293888
pure-numeric-n10000-p128,baseline,current,datasig,retained,3,,5724128,3632472,55964,54532,144359424
numeric-n1000-p1024,baseline,current,load,allocation,1,8916472,,,,,
numeric-n1000-p1024,baseline,current,load,retained,1,,8998664,597024,56914,42631,148635648
numeric-n1000-p1024,baseline,current,load,retained,2,,8998664,597024,56914,42631,148815872
numeric-n1000-p1024,baseline,current,load,retained,3,,8998664,597024,56914,42631,148652032
numeric-n1000-p1024,baseline,current,first_value,allocation,1,8916472,,,,,
numeric-n1000-p1024,baseline,current,first_value,retained,1,,9042624,640952,59419,45130,151683072
numeric-n1000-p1024,baseline,current,first_value,retained,2,,9042624,640952,59419,45130,149045248
numeric-n1000-p1024,baseline,current,first_value,retained,3,,9042624,640952,59419,45130,149028864
