case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
pure-numeric-n1000-p1024,baseline,direct,column_handle,7,0.011000025551766199,0.00599998747929931,0.0539999455213547
pure-numeric-n1000-p1024,baseline,direct,first_value_same_handle,7,0.0780000118538737,0.057999975979328204,0.392000016290694
pure-numeric-n1000-p1024,baseline,direct,repeat_value_same_handle,7,0.0449999934062362,0.043000036384910297,0.057999975979328204
pure-numeric-n1000-p1024,baseline,direct,repeat_value_new_extraction,7,0.0479999580420554,0.0449999934062362,0.0589999835938215
pure-numeric-n1000-p1024,baseline,direct,column_summary,7,0.00900001032277942,0.00600004568696022,0.023000000510364802
pure-numeric-n1000-p1024,baseline,direct,repeat_column_summary,7,0.00599998747929931,0.00499997986480594,0.780000002123415
pure-numeric-n1000-p1024,baseline,direct,fraction_workflow,7,3.76400002278388,3.63799999468029,7.17799999983981
pure-numeric-n1000-p1024,baseline,direct,expanded_fraction_workflow,7,7.52399995690212,7.2500000242143905,10.9379999921657
pure-numeric-n1000-p1024,baseline,direct,all_columns_summary,7,4.00000001536682,3.11900000087917,4.30000002961606
pure-numeric-n1000-p1024,baseline,current,empty_control,100,0.0,0.0,0.23200002033263398
pure-numeric-n1000-p1024,baseline,current,load,7,14.833000022918,14.0319999773055,24.820999999065002
pure-numeric-n1000-p1024,baseline,current,column_handle,7,0.0089999521151185,0.00699999509379268,0.0540000037290156
pure-numeric-n1000-p1024,baseline,current,first_value_same_handle,7,0.0770000042393804,0.0720000243745744,0.354000017978251
pure-numeric-n1000-p1024,baseline,current,repeat_value_same_handle,7,0.0509999808855355,0.0400000135414302,0.0560000189580023
pure-numeric-n1000-p1024,baseline,current,repeat_value_new_extraction,7,0.0519999885000288,0.0460000010207295,0.0600000494159758
pure-numeric-n1000-p1024,baseline,current,column_summary,7,0.0089999521151185,0.00799994450062513,0.0210000434890389
pure-numeric-n1000-p1024,baseline,current,repeat_column_summary,7,0.00500003807246685,0.00399997225031257,0.669000030029565
pure-numeric-n1000-p1024,baseline,current,fraction_workflow,7,3.83200001670048,3.58299998333678,5.1550000207498705
pure-numeric-n1000-p1024,baseline,current,expanded_fraction_workflow,7,8.24000005377457,8.00699996761978,11.319999990519099
pure-numeric-n1000-p1024,baseline,current,all_columns_summary,7,3.1459999736398503,3.06499999715015,3.2379999756813
