case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
pure-numeric-n10000-p128,pure_numeric,10000,128,128,direct_all,baseline,direct,all,0,8,4.296875,4.09375,4.65625
pure-numeric-n10000-p128,pure_numeric,10000,128,128,direct_datasig,baseline,direct,datasig,0,8,11.944444444444443,11.777777777777777,12.88888888888889
pure-numeric-n10000-p128,pure_numeric,10000,128,128,direct_fraction,baseline,direct,fraction,0,8,4.203125,3.96875,4.59375
pure-numeric-n10000-p128,pure_numeric,10000,128,7,direct_known5_fraction,baseline,direct,known5_fraction,0,8,2.46875,2.3958333333333335,2.8125000000000004
pure-numeric-n10000-p128,pure_numeric,10000,128,128,direct_load,baseline,direct,load,0,8,2.5104166666666665,2.1666666666666665,2.6458333333333335
pure-numeric-n10000-p128,pure_numeric,10000,128,128,private_eager_all,eager_private,direct,all,0,8,4.296875,4.09375,4.65625
pure-numeric-n10000-p128,pure_numeric,10000,128,128,private_eager_load,eager_private,direct,load,0,8,2.46875,2.2083333333333335,2.5833333333333335
pure-numeric-n10000-p128,pure_numeric,10000,128,128,serial_direct_all,baseline,direct,all,1,8,6.65,6.3,6.866666666666666
pure-numeric-n10000-p128,pure_numeric,10000,128,128,serial_direct_load,baseline,direct,load,1,8,4.875,4.59375,5.09375
pure-numeric-n10000-p8,pure_numeric,10000,8,8,current_all,baseline,current,all,0,8,0.8928571428571429,0.8035714285714286,1.0
pure-numeric-n10000-p8,pure_numeric,10000,8,8,current_datasig,baseline,current,datasig,0,8,1.53125,1.375,1.71875
pure-numeric-n10000-p8,pure_numeric,10000,8,8,current_fraction,baseline,current,fraction,0,8,2.09375,1.8541666666666665,2.5
pure-numeric-n10000-p8,pure_numeric,10000,8,1,current_known5_fraction,baseline,current,known5_fraction,0,8,1.953125,1.75,2.28125
pure-numeric-n10000-p8,pure_numeric,10000,8,8,current_load,baseline,current,load,0,8,0.76953125,0.6796875,0.875
pure-numeric-n10000-p8,pure_numeric,10000,8,8,deferred_all,numeric_snapshot,direct,all,0,8,0.82421875,0.734375,0.921875
pure-numeric-n10000-p8,pure_numeric,10000,8,8,deferred_current_load,numeric_snapshot,current,load,0,8,0.5572916666666666,0.5104166666666667,0.6197916666666666
pure-numeric-n10000-p8,pure_numeric,10000,8,8,deferred_datasig,numeric_snapshot,direct,datasig,0,8,1.8203125,1.640625,2.0625
pure-numeric-n10000-p8,pure_numeric,10000,8,8,deferred_fraction,numeric_snapshot,direct,fraction,0,8,2.625,2.3125,2.8958333333333335
pure-numeric-n10000-p8,pure_numeric,10000,8,1,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,2.7395833333333335,2.3958333333333335,3.0208333333333335
pure-numeric-n10000-p8,pure_numeric,10000,8,8,deferred_load,numeric_snapshot,direct,load,0,8,0.330078125,0.326171875,0.3671875
pure-numeric-n10000-p8,pure_numeric,10000,8,8,direct_all,baseline,direct,all,0,8,0.7048611111111112,0.6458333333333334,0.7916666666666666
pure-numeric-n10000-p8,pure_numeric,10000,8,8,direct_datasig,baseline,direct,datasig,0,8,1.3625,1.2249999999999999,1.5
pure-numeric-n10000-p8,pure_numeric,10000,8,8,direct_fraction,baseline,direct,fraction,0,8,1.875,1.703125,2.171875
pure-numeric-n10000-p8,pure_numeric,10000,8,1,direct_known5_fraction,baseline,direct,known5_fraction,0,8,1.8359375,1.640625,2.0625
pure-numeric-n10000-p8,pure_numeric,10000,8,8,direct_load,baseline,direct,load,0,8,0.5265625,0.5,0.5499999999999999
